Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
Hangzhou/HZ178/2020	EPI_ISL_418509	1/23/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ185/2020	EPI_ISL_418510	1/23/20	Hangzhou Center for Disease Control and Prevention	Insepction Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ477/2020	EPI_ISL_418511	1/24/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ481/2020	EPI_ISL_418512	1/25/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ551/2020	EPI_ISL_418513	1/25/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ576/2020	EPI_ISL_418514	1/25/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Hangzhou/HZ638/2020	EPI_ISL_418515	1/25/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
Ireland/21023/2020	EPI_ISL_418516	3/6/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/21145/2020	EPI_ISL_418548	3/6/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/Dublin-22361/2020	EPI_ISL_418580	3/8/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/Dublin-22428/2020	EPI_ISL_418581	3/8/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/22901/2020	EPI_ISL_418582	3/10/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/24042/2020	EPI_ISL_418583	3/10/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Ireland/24052/2020	EPI_ISL_418584	3/10/20	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
Belgium/ULG-6972/2020	EPI_ISL_418624	3/15/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-6688/2020	EPI_ISL_418625	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7242/2020	EPI_ISL_418626	3/16/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-6743/2020	EPI_ISL_418627	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7134/2020	EPI_ISL_418628	3/16/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7773/2020	EPI_ISL_418629	3/17/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7729/2020	EPI_ISL_418630	3/17/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-6649/2020	EPI_ISL_418631	3/14/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7500/2020	EPI_ISL_418632	3/16/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-7626/2020	EPI_ISL_418633	3/17/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8595/2020	EPI_ISL_418634	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8532/2020	EPI_ISL_418635	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8541/2020	EPI_ISL_418636	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8578/2020	EPI_ISL_418638	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8617/2020	EPI_ISL_418639	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-8634/2020	EPI_ISL_418640	3/19/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9558/2020	EPI_ISL_418645	3/21/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9572/2020	EPI_ISL_418646	3/21/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9618/2020	EPI_ISL_418648	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9619/2020	EPI_ISL_418649	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9620/2020	EPI_ISL_418650	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9634/2020	EPI_ISL_418651	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9641/2020	EPI_ISL_418652	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9647/2020	EPI_ISL_418653	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9694/2020	EPI_ISL_418654	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9714/2020	EPI_ISL_418655	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9715/2020	EPI_ISL_418656	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9716/2020	EPI_ISL_418657	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9725/2020	EPI_ISL_418659	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9732/2020	EPI_ISL_418660	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9735/2020	EPI_ISL_418661	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9739/2020	EPI_ISL_418663	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
Belgium/ULG-9741/2020	EPI_ISL_418664	3/22/20	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
England/20109047803/2020	EPI_ISL_418667	3/7/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20110136302/2020	EPI_ISL_418668	3/9/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20116022902/2020	EPI_ISL_418669	3/11/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20119026102/2020	EPI_ISL_418671	3/13/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20120002102/2020	EPI_ISL_418672	3/15/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122032802/2020	EPI_ISL_418673	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122074602/2020	EPI_ISL_418676	3/10/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122087702/2020	EPI_ISL_418677	3/15/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122088102/2020	EPI_ISL_418678	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122119202/2020	EPI_ISL_418679	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122119302/2020	EPI_ISL_418680	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20122119502/2020	EPI_ISL_418681	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124001302/2020	EPI_ISL_418684	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124001902/2020	EPI_ISL_418686	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124002002/2020	EPI_ISL_418687	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124002102/2020	EPI_ISL_418688	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124003702/2020	EPI_ISL_418690	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124003902/2020	EPI_ISL_418691	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124004302/2020	EPI_ISL_418692	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124008902/2020	EPI_ISL_418694	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124012702/2020	EPI_ISL_418698	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124020402/2020	EPI_ISL_418701	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124020802/2020	EPI_ISL_418702	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124021402/2020	EPI_ISL_418704	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124029802/2020	EPI_ISL_418706	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124030003/2020	EPI_ISL_418707	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124030802/2020	EPI_ISL_418708	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124034702/2020	EPI_ISL_418711	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124035802/2020	EPI_ISL_418715	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124036002/2020	EPI_ISL_418716	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124036902/2020	EPI_ISL_418718	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124037302/2020	EPI_ISL_418720	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124048202/2020	EPI_ISL_418722	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124049402/2020	EPI_ISL_418723	3/16/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124095502/2020	EPI_ISL_418729	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124096802/2020	EPI_ISL_418733	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124097102/2020	EPI_ISL_418734	3/13/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124100002/2020	EPI_ISL_418737	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20124101102/2020	EPI_ISL_418739	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20126006802/2020	EPI_ISL_418749	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20126007102/2020	EPI_ISL_418751	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20126012702/2020	EPI_ISL_418756	3/17/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20126035502/2020	EPI_ISL_418764	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/20126096602/2020	EPI_ISL_418770	3/18/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
USA/WA-NH2/2020	EPI_ISL_418771	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH3/2020	EPI_ISL_418772	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH4/2020	EPI_ISL_418773	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH5/2020	EPI_ISL_418774	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH6/2020	EPI_ISL_418775	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH7/2020	EPI_ISL_418776	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH8/2020	EPI_ISL_418777	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
USA/WA-NH9/2020	EPI_ISL_418778	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH10/2020	EPI_ISL_418779	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH11/2020	EPI_ISL_418780	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH12/2020	EPI_ISL_418781	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH13/2020	EPI_ISL_418782	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH14/2020	EPI_ISL_418783	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH17/2020	EPI_ISL_418784	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH18/2020	EPI_ISL_418785	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH19/2020	EPI_ISL_418786	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH20/2020	EPI_ISL_418787	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH21/2020	EPI_ISL_418788	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH22/2020	EPI_ISL_418789	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH23/2020	EPI_ISL_418790	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-NH24/2020	EPI_ISL_418791	3/13/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
Belgium/GL-030546/2020	EPI_ISL_418792	3/5/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Belgium/SS-031047/2020	EPI_ISL_418793	3/10/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Belgium/VHRA-030644/2020	EPI_ISL_418794	3/6/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Belgium/NKR-030645/2020	EPI_ISL_418795	3/6/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
hCoV-19/Belgium/VDLH-030548/2020	EPI_ISL_418796	3/5/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen, Joan Marti-Carreras, Tony Wawina, Piet Maes
Belgium/VDLH-030548/2020	EPI_ISL_418797	3/5/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Belgium/GS-030549/2020	EPI_ISL_418798	3/5/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Australia/QLDID922/2020	EPI_ISL_418799	2/28/20	Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
Belgium/CS-031052/2020	EPI_ISL_418800	3/10/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Australia/QLDID923/2020	EPI_ISL_418801	3/14/20	Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
Australia/QLDID924/2020	EPI_ISL_418802	3/18/20	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
Australia/QLDID925/2020	EPI_ISL_418803	3/18/20	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
Australia/QLDID926/2020	EPI_ISL_418804	3/18/20	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
Belgium/VPE-030650/2020	EPI_ISL_418805	3/6/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Belgium/BG-030551/2020	EPI_ISL_418806	3/5/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Australia/QLDID927/2020	EPI_ISL_418807	3/19/20	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
Japan/UT-NCGM02/2020	EPI_ISL_418809	2/1/20	University of Wisconsin - Madison: Influenza Research Institute	University of Wisconsin Madison, AIDS Vaccine Research Laboratories	Katarina Braun et al
	EPI_ISL_418810
Canada/NB_6/2020	EPI_ISL_418811	3/12/20	Dr. Georges-L.-Dumont University Hospital Centre	National Microbiology Laboratory	Anna Majer et al
Canada/MB_8/2020	EPI_ISL_418812	3/12/20	Cadham Provincial Laboratory	National Microbiology Laboratory	Anna Majer et al
Canada/MB_10/2020	EPI_ISL_418813	3/13/20	Cadham Provincial Laboratory	National Microbiology Laboratory	Anna Majer et al
Canada/NS_13/2020	EPI_ISL_418814	3/13/20	Queen Elizabeth II Health Science Centre	National Microbiology Laboratory	Anna Majer et al
HongKong/HKPU36-0702/2020	EPI_ISL_418815	2/9/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
Canada/BC_0443574/2020	EPI_ISL_418816	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_0554880/2020	EPI_ISL_418817	3/13/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_1318414/2020	EPI_ISL_418818	3/6/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_3808524/2020	EPI_ISL_418819	3/9/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_3842755/2020	EPI_ISL_418820	3/9/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_3968175/2020	EPI_ISL_418821	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_3972884/2020	EPI_ISL_418822	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_3989992/2020	EPI_ISL_418823	3/9/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_4078583/2020	EPI_ISL_418824	3/3/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_4118226/2020	EPI_ISL_418825	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_4122951/2020	EPI_ISL_418826	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_4540462/2020	EPI_ISL_418829	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_4799711/2020	EPI_ISL_418830	3/9/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_5275718/2020	EPI_ISL_418831	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_5282984/2020	EPI_ISL_418832	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_5306970/2020	EPI_ISL_418833	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_5522039/2020	EPI_ISL_418834	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_5979789/2020	EPI_ISL_418835	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6004567/2020	EPI_ISL_418836	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6129127/2020	EPI_ISL_418837	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6404889/2020	EPI_ISL_418838	3/12/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6489864/2020	EPI_ISL_418839	3/10/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6502001/2020	EPI_ISL_418840	3/12/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6981299/2020	EPI_ISL_418841	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_6997898/2020	EPI_ISL_418842	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_7277381/2020	EPI_ISL_418843	3/12/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_7515663/2020	EPI_ISL_418845	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_7553799/2020	EPI_ISL_418846	3/12/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8150537/2020	EPI_ISL_418847	3/12/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8159203/2020	EPI_ISL_418848	3/5/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8486790/2020	EPI_ISL_418849	3/13/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8622445/2020	EPI_ISL_418851	3/13/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8718874/2020	EPI_ISL_418852	3/7/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8894200/2020	EPI_ISL_418853	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8896915/2020	EPI_ISL_418854	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_8897642/2020	EPI_ISL_418855	3/11/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
